商品ID,类别ID,门店编号,单价,销量,成交时间,订单ID
30026255,915030104,CDNL,3.32,2.868,2017/1/3 10:00,20170103CDLG000210052762
30133582,914050000,CDNL,1.5,1,2017/1/3 10:00,20170103CDLG000210052763
30133582,914050000,CDNL,1.5,1,2017/1/3 10:00,20170103CDLG000210052763
30133582,914050000,CDNL,1.5,1,2017/1/3 10:00,20170103CDLG000210052763
30023041,923000006,CDNL,3.2,1.062,2017/1/3 10:00,20170103CDLG000210052764
29989099,922000008,CDNL,1.58,0.57,2017/1/3 10:00,20170103CDLG000210052764
29989098,922000001,CDNL,2.8,0.472,2017/1/3 10:01,20170103CDLG000210052765
29989077,922000008,CDNL,11.59,0.543,2017/1/3 10:01,20170103CDLG000210052765
30096418,912060403,CDNL,19.41,0.48,2017/1/3 10:01,20170103CDLG000210052765
30188224,932010109,CDNL,2.5,1,2017/1/3 10:01,20170103CDLG000210052765
30007658,910020000,CDNL,0.8,1,2017/1/3 10:06,20170103CDLG000210052766
30056637,910020302,CDNL,2.62,1,2017/1/3 10:06,20170103CDLG000210052766
30008217,911010300,CDNL,7.52,1,2017/1/3 10:06,20170103CDLG000210052767
30020052,923000002,CDNL,6.2,0.79,2017/1/3 10:06,20170103CDLG000210052767
29989059,922000003,CDNL,1.98,1.263,2017/1/3 10:06,20170103CDLG000210052767
30096418,912060403,CDNL,19.42,1.606,2017/1/3 10:07,20170103CDLG000210052768
30165986,914000002,CDNL,9.52,1,2017/1/3 10:07,20170103CDLG000210052768
30023041,923000006,CDNL,3.2,0.894,2017/1/3 10:09,20170103CDLG000210052769
30002974,913020003,CDNL,23.62,1,2017/1/3 10:09,20170103CDLG000210052769
29989059,922000003,CDNL,1.98,1.162,2017/1/3 10:10,20170103CDLG000210052770
29989059,922000003,CDNL,1.98,1.212,2017/1/3 10:10,20170103CDLG000210052770
29989059,922000003,CDNL,1.98,1.465,2017/1/3 10:10,20170103CDLG000210052770
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:10,20170103CDLG000210052770
29989059,922000003,CDNL,1.98,0.758,2017/1/3 10:11,20170103CDLG000210052771
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:11,20170103CDLG000210052771
30020145,915030104,CDNL,4.16,2.982,2017/1/3 10:11,20170103CDLG000210052772
30020055,923000002,CDNL,9.6,1.202,2017/1/3 10:12,20170103CDLG000210052773
29989077,922000008,CDNL,11.61,0.267,2017/1/3 10:12,20170103CDLG000210052773
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:12,20170103CDLG000210052773
29989143,923000001,CDNL,5,1.952,2017/1/3 10:12,20170103CDLG000210052773
30006039,915010001,CDNL,11.58,0.744,2017/1/3 10:13,20170103CDLG000210052774
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:13,20170103CDLG000210052775
29989613,922000005,CDNL,2.8,0.566,2017/1/3 10:16,20170103CDLG000210052776
29989156,923000000,CDNL,10.79,0.734,2017/1/3 10:17,20170103CDLG000210052777
30020265,923010000,CDNL,29.4,0.534,2017/1/3 10:17,20170103CDLG000210052777
30023041,923000006,CDNL,3.2,0.95,2017/1/3 10:17,20170103CDLG000210052777
29989081,922000000,CDNL,8.17,0.117,2017/1/3 10:17,20170103CDLG000210052777
29989143,923000001,CDNL,5,0.706,2017/1/3 10:17,20170103CDLG000210052777
30023041,923000006,CDNL,3.2,1.816,2017/1/3 10:18,20170103CDLG000210052778
30118305,930040104,CDNL,19.52,1,2017/1/3 10:21,20170103CDLG000210052780
30199833,930040000,CDNL,9.52,1,2017/1/3 10:21,20170103CDLG000210052780
30205064,930040200,CDNL,29.52,1,2017/1/3 10:21,20170103CDLG000210052780
30020693,930040104,CDNL,22.52,1,2017/1/3 10:21,20170103CDLG000210052780
30020693,930040104,CDNL,22.52,1,2017/1/3 10:21,20170103CDLG000210052780
30167702,930040000,CDNL,5.52,1,2017/1/3 10:21,20170103CDLG000210052780
30176919,930040000,CDNL,18.42,1,2017/1/3 10:21,20170103CDLG000210052780
29989059,922000003,CDNL,1.98,1.061,2017/1/3 10:21,20170103CDLG000210052780
29989059,922000003,CDNL,1.98,1.364,2017/1/3 10:21,20170103CDLG000210052780
30075540,930040200,CDNL,29.52,1,2017/1/3 10:21,20170103CDLG000210052780
30075540,930040200,CDNL,29.52,1,2017/1/3 10:21,20170103CDLG000210052780
29989105,922000000,CDNL,2.8,1.006,2017/1/3 10:21,20170103CDLG000210052781
29989058,922000001,CDNL,1.98,1.919,2017/1/3 10:21,20170103CDLG000210052781
30020249,923000002,CDNL,1.98,1.212,2017/1/3 10:23,20170103CDLG000210052782
30023187,922000003,CDNL,3.2,0.447,2017/1/3 10:23,20170103CDLG000210052782
30113344,912060303,CDNL,13.43,0.746,2017/1/3 10:23,20170103CDLG000210052782
29989059,922000003,CDNL,1.98,0.556,2017/1/3 10:23,20170103CDLG000210052782
29989059,922000003,CDNL,1.98,1.212,2017/1/3 10:23,20170103CDLG000210052783
29989540,924020000,CDNL,11.58,0.276,2017/1/3 10:25,20170103CDLG000210052784
29989077,922000008,CDNL,11.58,0.276,2017/1/3 10:25,20170103CDLG000210052784
30113344,912060303,CDNL,13.41,0.58,2017/1/3 10:25,20170103CDLG000210052784
29989061,922000000,CDNL,5.6,1.773,2017/1/3 10:27,20170103CDLG000210052786
29989059,922000003,CDNL,1.98,1.162,2017/1/3 10:27,20170103CDLG000210052786
29989059,922000003,CDNL,1.98,1.313,2017/1/3 10:27,20170103CDLG000210052786
29989059,922000003,CDNL,1.98,1.768,2017/1/3 10:27,20170103CDLG000210052786
29989059,922000003,CDNL,1.98,1.97,2017/1/3 10:27,20170103CDLG000210052786
30128249,912020100,CDNL,3.32,1,2017/1/3 10:28,20170103CDLG000210052787
30128249,912020100,CDNL,3.32,1,2017/1/3 10:28,20170103CDLG000210052787
30126246,910010500,CDNL,13.62,1,2017/1/3 10:28,20170103CDLG000210052787
30023177,922000103,CDNL,6.2,0.41,2017/1/3 10:28,20170103CDLG000210052787
30126250,910010500,CDNL,13.62,1,2017/1/3 10:28,20170103CDLG000210052787
30007799,910030000,CDNL,8.62,1,2017/1/3 10:28,20170103CDLG000210052787
30022232,960000000,CDNL,0.3,1,2017/1/3 10:28,20170103CDLG000210052787
30017275,911000100,CDNL,13.42,1,2017/1/3 10:28,20170103CDLG000210052787
30020252,923000002,CDNL,11.6,0.868,2017/1/3 10:28,20170103CDLG000210052787
30023197,922000003,CDNL,6.79,0.279,2017/1/3 10:28,20170103CDLG000210052787
30156417,912020104,CDNL,8.32,1,2017/1/3 10:28,20170103CDLG000210052787
30203546,912020104,CDNL,8.32,1,2017/1/3 10:28,20170103CDLG000210052787
30006263,914100001,CDNL,5.52,1,2017/1/3 10:29,20170103CDLG000210052788
30006231,914100000,CDNL,5.52,1,2017/1/3 10:29,20170103CDLG000210052788
30119171,915030306,CDNL,10.62,1.136,2017/1/3 10:29,20170103CDLG000210052788
29989540,924020000,CDNL,11.6,0.309,2017/1/3 10:31,20170103CDLG000210052789
30023192,922000000,CDNL,9.62,0.09,2017/1/3 10:31,20170103CDLG000210052789
30023195,922000001,CDNL,1.98,0.455,2017/1/3 10:31,20170103CDLG000210052789
30012622,912030001,CDNL,3.32,1,2017/1/3 10:31,20170103CDLG000210052789
30006206,915000003,CDNL,25.22,0.461,2017/1/3 10:32,20170103CDLG000210052790
30031870,915030401,CDNL,6.58,1.046,2017/1/3 10:32,20170103CDLG000210052790
30031870,915030401,CDNL,6.58,2.672,2017/1/3 10:33,20170103CDLG000210052791
30120695,914110004,CDNL,6.12,1,2017/1/3 10:33,20170103CDLG000210052792
30200518,922000000,CDNL,19.62,0.35,2017/1/3 10:33,20170103CDLG000210052792
29989152,923000001,CDNL,5.6,1.221,2017/1/3 10:33,20170103CDLG000210052792
29989153,923000006,CDNL,7.6,0.589,2017/1/3 10:33,20170103CDLG000210052792
30022232,960000000,CDNL,0.3,1,2017/1/3 10:33,20170103CDLG000210052792
30002234,912060006,CDNL,19.22,0.25,2017/1/3 10:33,20170103CDLG000210052792
30002263,912060008,CDNL,26.78,0.232,2017/1/3 10:33,20170103CDLG000210052792
30040629,922000005,CDNL,15.6,0.463,2017/1/3 10:33,20170103CDLG000210052792
30023194,922000008,CDNL,13.59,0.222,2017/1/3 10:34,20170103CDLG000210052793
29989105,922000000,CDNL,2.8,0.881,2017/1/3 10:34,20170103CDLG000210052793
29989152,923000001,CDNL,5.6,0.853,2017/1/3 10:34,20170103CDLG000210052793
30008276,911010501,CDNL,15.41,0.665,2017/1/3 10:34,20170103CDLG000210052793
30023175,922000103,CDNL,5.6,0.652,2017/1/3 10:34,20170103CDLG000210052793
29989057,922000001,CDNL,2.38,0.378,2017/1/3 10:34,20170103CDLG000210052793
29989073,922000002,CDNL,4.8,0.56,2017/1/3 10:34,20170103CDLG000210052793
30022232,960000000,CDNL,0.3,1,2017/1/3 10:34,20170103CDLG000210052793
30203637,923000006,CDNL,3.2,1.369,2017/1/3 10:34,20170103CDLG000210052793
29989084,922000000,CDNL,13.57,0.215,2017/1/3 10:34,20170103CDLG000210052793
29989091,922000000,CDNL,4.2,1.092,2017/1/3 10:34,20170103CDLG000210052793
30020249,923000002,CDNL,1.98,0.758,2017/1/3 10:35,20170103CDLG000210052794
30184351,915000106,CDNL,15.57,1.028,2017/1/3 10:35,20170103CDLG000210052794
29989072,922000002,CDNL,0.78,2.436,2017/1/3 10:36,20170103CDLG000210052795
29989072,922000002,CDNL,0.78,1.077,2017/1/3 10:36,20170103CDLG000210052795
29989059,922000003,CDNL,1.98,1.263,2017/1/3 10:36,20170103CDLG000210052795
29989059,922000003,CDNL,1.98,1.717,2017/1/3 10:36,20170103CDLG000210052795
29989072,922000002,CDNL,0.78,1.154,2017/1/3 10:36,20170103CDLG000210052796
30006325,915030301,CDNL,6.78,1.313,2017/1/3 10:36,20170103CDLG000210052796
29989058,922000001,CDNL,1.98,1.616,2017/1/3 10:36,20170103CDLG000210052796
29989059,922000003,CDNL,1.98,0.707,2017/1/3 10:36,20170103CDLG000210052796
30006214,914110003,CDNL,1.9,5,2017/1/3 10:36,20170103CDLG000210052796
30026352,920000202,CDNL,5.22,0.464,2017/1/3 10:38,20170103CDLG000210052797
30023041,923000006,CDNL,3.2,1.117,2017/1/3 10:38,20170103CDLG000210052797
29989073,922000002,CDNL,4.8,0.193,2017/1/3 10:38,20170103CDLG000210052797
30006309,915000103,CDNL,4.78,0.31,2017/1/3 10:38,20170103CDLG000210052797
30020137,915030102,CDNL,5.58,2.5,2017/1/3 10:41,20170103CDLG000210052798
30023192,922000000,CDNL,9.62,0.18,2017/1/3 10:43,20170103CDLG000210052799
29989073,922000002,CDNL,4.8,0.27,2017/1/3 10:43,20170103CDLG000210052799
29989059,922000003,CDNL,1.98,1.162,2017/1/3 10:43,20170103CDLG000210052799
29989059,922000003,CDNL,1.98,1.162,2017/1/3 10:43,20170103CDLG000210052799
29989082,922000000,CDNL,8.78,0.12,2017/1/3 10:43,20170103CDLG000210052799
30023041,923000006,CDNL,3.2,1.089,2017/1/3 10:43,20170103CDLG000210052800
29989143,923000001,CDNL,5,1.543,2017/1/3 10:43,20170103CDLG000210052800
30139244,930020502,CDNL,14.52,1,2017/1/3 10:46,20170103CDLG000210052801
29989105,922000000,CDNL,2.8,1.258,2017/1/3 10:47,20170103CDLG000210052802
29989105,922000000,CDNL,2.8,1.384,2017/1/3 10:47,20170103CDLG000210052802
29989105,922000000,CDNL,2.8,1.761,2017/1/3 10:47,20170103CDLG000210052802
29989058,922000001,CDNL,1.98,1.515,2017/1/3 10:47,20170103CDLG000210052802
29989058,922000001,CDNL,1.98,1.818,2017/1/3 10:47,20170103CDLG000210052802
29989059,922000003,CDNL,1.98,0.909,2017/1/3 10:47,20170103CDLG000210052802
29989059,922000003,CDNL,1.98,1.313,2017/1/3 10:47,20170103CDLG000210052802
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:47,20170103CDLG000210052802
29989059,922000003,CDNL,1.98,1.566,2017/1/3 10:47,20170103CDLG000210052802
30023041,923000006,CDNL,3.2,1.257,2017/1/3 10:49,20170103CDLG000210052803
30064703,914000001,CDNL,9.52,1,2017/1/3 10:49,20170103CDLG000210052803
30070919,914000003,CDNL,15.52,1,2017/1/3 10:49,20170103CDLG000210052803
29989059,922000003,CDNL,1.98,1.313,2017/1/3 10:49,20170103CDLG000210052803
29989071,922000002,CDNL,3.4,0.688,2017/1/3 10:49,20170103CDLG000210052803
29989072,922000002,CDNL,0.78,0.897,2017/1/3 10:52,20170103CDLG000210052804
30020249,923000002,CDNL,1.98,0.505,2017/1/3 10:52,20170103CDLG000210052804
30113344,912060303,CDNL,13.43,0.333,2017/1/3 10:52,20170103CDLG000210052804
29989059,922000003,CDNL,3.98,0.528,2017/1/3 10:55,20170103CDLG000210052805
30008948,911000100,CDNL,10.42,1,2017/1/3 10:56,20170103CDLG000210052806
30122591,912020100,CDNL,4.92,1,2017/1/3 10:56,20170103CDLG000210052806
30096418,912060403,CDNL,19.41,0.379,2017/1/3 10:56,20170103CDLG000210052806
30040959,914050000,CDNL,2.2,2,2017/1/3 10:56,20170103CDLG000210052806
30059981,911000100,CDNL,10.62,1,2017/1/3 10:56,20170103CDLG000210052806
30092224,912060303,CDNL,31.21,0.383,2017/1/3 10:56,20170103CDLG000210052806
30135343,931060000,CDNL,13.52,1,2017/1/3 10:56,20170103CDLG000210052806
30007554,910020202,CDNL,2.82,1,2017/1/3 10:57,20170103CDLG000210052807
30214800,925090000,CDNL,25.46,0.269,2017/1/3 10:58,20170103CDLG000210052808
29989077,922000008,CDNL,11.59,0.376,2017/1/3 10:58,20170103CDLG000210052808
29989059,922000003,CDNL,3.98,0.377,2017/1/3 10:58,20170103CDLG000210052808
29989059,922000003,CDNL,3.98,0.678,2017/1/3 10:58,20170103CDLG000210052808
30042756,938030000,CDNL,3.52,2,2017/1/3 10:58,20170103CDLG000210052809
29989077,922000008,CDNL,11.61,0.467,2017/1/3 10:58,20170103CDLG000210052809
29989059,922000003,CDNL,3.98,0.503,2017/1/3 10:58,20170103CDLG000210052809
29989059,922000003,CDNL,3.98,0.578,2017/1/3 10:58,20170103CDLG000210052809
29989172,923000002,CDNL,9.6,1.022,2017/1/3 10:58,20170103CDLG000210052809
29989072,922000002,CDNL,0.78,1.026,2017/1/3 10:59,20170103CDLG000210052810
30031936,912060400,CDNL,13.41,0.783,2017/1/3 10:59,20170103CDLG000210052810
30102549,930010005,CDNL,7.52,1,2017/1/3 11:01,20170103CDLG000210052811
30115568,930020001,CDNL,8.52,1,2017/1/3 11:01,20170103CDLG000210052811
29989172,923000002,CDNL,9.6,0.531,2017/1/3 11:01,20170103CDLG000210052811
30005217,914050000,CDNL,1.5,1,2017/1/3 11:03,20170103CDLG000210052812
30008643,912030500,CDNL,8.82,1,2017/1/3 11:03,20170103CDLG000210052812
30004013,914050002,CDNL,2.92,1,2017/1/3 11:03,20170103CDLG000210052812
30051830,910030001,CDNL,5.29,7,2017/1/3 11:04,20170103CDLG000210052813
30092224,912060303,CDNL,31.24,0.582,2017/1/3 11:04,20170103CDLG000210052813
29989157,923000000,CDNL,5.6,1.438,2017/1/3 11:05,20170103CDLG000210052814
30020281,923000101,CDNL,9.6,0.962,2017/1/3 11:05,20170103CDLG000210052814
30214313,930020502,CDNL,8.52,1,2017/1/3 11:07,20170103CDLG000210052816
30113909,930020001,CDNL,9.52,1,2017/1/3 11:07,20170103CDLG000210052816
30096418,912060403,CDNL,19.41,0.384,2017/1/3 11:09,20170103CDLG000210052817
30113344,912060303,CDNL,13.4,0.167,2017/1/3 11:09,20170103CDLG000210052817
30092224,912060303,CDNL,31.1,0.108,2017/1/3 11:09,20170103CDLG000210052817
30020055,923000002,CDNL,9.6,1.152,2017/1/3 11:13,20170103CDLG000210052818
30180988,911000100,CDNL,11.62,1,2017/1/3 11:13,20170103CDLG000210052818
30008229,911010400,CDNL,6.52,1,2017/1/3 11:21,20170103CDLG000210052819
30008230,911010400,CDNL,6.52,1,2017/1/3 11:21,20170103CDLG000210052819
30022233,960000000,CDNL,0.2,1,2017/1/3 11:22,20170103CDLG000210052820
30001975,912030001,CDNL,3.32,1,2017/1/3 11:23,20170103CDLG000210052821
30001973,912030001,CDNL,3.32,1,2017/1/3 11:23,20170103CDLG000210052821
30001918,912030007,CDNL,3.32,1,2017/1/3 11:23,20170103CDLG000210052821
30129510,925090000,CDNL,23.23,0.588,2017/1/3 11:23,20170103CDLG000210052822
29989063,922000000,CDNL,6.8,0.348,2017/1/3 11:23,20170103CDLG000210052822
29989083,922000000,CDNL,4.2,0.48,2017/1/3 11:23,20170103CDLG000210052822
30010587,914070201,CDNL,4.12,1,2017/1/3 11:23,20170103CDLG000210052822
30020100,915030300,CDNL,12.36,0.259,2017/1/3 11:23,20170103CDLG000210052822
30166774,931000003,CDNL,8.12,1,2017/1/3 11:23,20170103CDLG000210052822
29989540,924020000,CDNL,11.57,0.318,2017/1/3 11:24,20170103CDLG000210052823
30163281,914010000,CDNL,2,1,2017/1/3 11:24,20170103CDLG000210052823
30050565,911000000,CDNL,6.52,1,2017/1/3 11:24,20170103CDLG000210052823
29989073,922000002,CDNL,4.8,0.463,2017/1/3 11:24,20170103CDLG000210052823
30073664,912060303,CDNL,27.17,0.294,2017/1/3 11:24,20170103CDLG000210052823
29989061,922000000,CDNL,5.57,0.084,2017/1/3 11:24,20170103CDLG000210052823
30020103,915030301,CDNL,9.6,0.832,2017/1/3 11:24,20170103CDLG000210052823
30023187,922000003,CDNL,3.2,0.279,2017/1/3 11:29,20170103CDLG000210052824
30057847,930010003,CDNL,10.52,1,2017/1/3 11:30,20170103CDLG000210052825
30059269,914040302,CDNL,9.72,1,2017/1/3 11:30,20170103CDLG000210052825
30111382,914020100,CDNL,9.32,1,2017/1/3 11:30,20170103CDLG000210052825
30010658,914000504,CDNL,12.92,1,2017/1/3 11:30,20170103CDLG000210052825
30027416,914040001,CDNL,6.62,1,2017/1/3 11:30,20170103CDLG000210052825
30022232,960000000,CDNL,0.3,1,2017/1/3 11:30,20170103CDLG000210052826
30031738,915030101,CDNL,4.92,2.736,2017/1/3 11:36,20170103CDLG000210052827
29989082,922000000,CDNL,8.81,0.098,2017/1/3 11:36,20170103CDLG000210052827
29989064,922000000,CDNL,9.58,0.251,2017/1/3 11:38,20170103CDLG000210052828
30209977,938030000,CDNL,6.42,1,2017/1/3 11:38,20170103CDLG000210052828
30022232,960000000,CDNL,0.3,1,2017/1/3 11:38,20170103CDLG000210052828
30167706,930040000,CDNL,7.52,1,2017/1/3 11:38,20170103CDLG000210052828
29989056,922000001,CDNL,5.6,0.736,2017/1/3 11:38,20170103CDLG000210052828
30006040,915010000,CDNL,9.58,1.205,2017/1/3 11:38,20170103CDLG000210052828
30022233,960000000,CDNL,0.2,1,2017/1/3 11:42,20170103CDLG000210052829
30004032,914040204,CDNL,4.12,2,2017/1/3 11:42,20170103CDLG000210052829
30006351,914100000,CDNL,12.32,1,2017/1/3 11:43,20170103CDLG000210052830
30203637,923000006,CDNL,3.2,2.263,2017/1/3 11:43,20170103CDLG000210052830
29989157,923000000,CDNL,5.6,1.271,2017/1/3 11:43,20170103CDLG000210052830
30208136,931000200,CDNL,4.52,1,2017/1/3 11:44,20170103CDLG000210052831
30206322,931010101,CDNL,7.52,1,2017/1/3 11:44,20170103CDLG000210052831
30206322,931010101,CDNL,7.52,1,2017/1/3 11:44,20170103CDLG000210052831
30010033,911000000,CDNL,4.12,1,2017/1/3 11:45,20170103CDLG000210052832
30022233,960000000,CDNL,0.2,1,2017/1/3 11:45,20170103CDLG000210052833
29991391,930020104,CDNL,7.92,1,2017/1/3 11:45,20170103CDLG000210052833
30006343,915030400,CDNL,3.98,0.367,2017/1/3 11:45,20170103CDLG000210052833
30130581,914050008,CDNL,3.72,1,2017/1/3 11:45,20170103CDLG000210052833
30126993,914050002,CDNL,1.5,1,2017/1/3 11:45,20170103CDLG000210052833
30126993,914050002,CDNL,1.5,1,2017/1/3 11:45,20170103CDLG000210052833
30003841,914010000,CDNL,9.02,1,2017/1/3 11:46,20170103CDLG000210052834
30023195,922000001,CDNL,1.98,0.808,2017/1/3 11:46,20170103CDLG000210052834
30118372,915030001,CDNL,52.62,1,2017/1/3 11:46,20170103CDLG000210052834
29989105,922000000,CDNL,2.8,1.981,2017/1/3 11:46,20170103CDLG000210052834
29989065,922000000,CDNL,21.64,0.168,2017/1/3 11:46,20170103CDLG000210052834
29989065,922000000,CDNL,21.55,0.187,2017/1/3 11:46,20170103CDLG000210052834
30022232,960000000,CDNL,0.3,1,2017/1/3 11:46,20170103CDLG000210052834
30004134,914010001,CDNL,24.52,1,2017/1/3 11:46,20170103CDLG000210052834
29989058,922000001,CDNL,1.98,1.768,2017/1/3 11:46,20170103CDLG000210052834
30005971,914090006,CDNL,75.52,1,2017/1/3 11:46,20170103CDLG000210052834
30006040,915010000,CDNL,9.58,1.386,2017/1/3 11:46,20170103CDLG000210052834
30013978,910020404,CDNL,4.82,1,2017/1/3 13:19,20170103CDLG000210052835
30013978,910020404,CDNL,4.82,1,2017/1/3 13:19,20170103CDLG000210052835
30010020,912500303,CDNL,14.62,1,2017/1/3 13:19,20170103CDLG000210052835
30010020,912500303,CDNL,14.62,1,2017/1/3 13:19,20170103CDLG000210052835
30022233,960000000,CDNL,0.2,1,2017/1/3 13:20,20170103CDLG000210052836
30158560,930040000,CDNL,16.52,1,2017/1/3 13:24,20170103CDLG000210052838
30001663,910020300,CDNL,2,2,2017/1/3 13:24,20170103CDLG000210052838
30022232,960000000,CDNL,0.3,1,2017/1/3 13:24,20170103CDLG000210052838
29989061,922000000,CDNL,5.61,0.284,2017/1/3 13:24,20170103CDLG000210052838
30059981,911000100,CDNL,10.62,1,2017/1/3 13:24,20170103CDLG000210052838
30059981,911000100,CDNL,10.62,1,2017/1/3 13:24,20170103CDLG000210052838
30210903,930010000,CDNL,16.52,1,2017/1/3 13:26,20170103CDLG000210052839
30007810,910030000,CDNL,1.35,19,2017/1/3 13:26,20170103CDLG000210052839
30008628,912040202,CDNL,14.52,1,2017/1/3 13:26,20170103CDLG000210052839
30169633,914080001,CDNL,9.52,1,2017/1/3 13:26,20170103CDLG000210052839
29989076,922000006,CDNL,3.58,0.81,2017/1/3 13:26,20170103CDLG000210052839
30003983,914000100,CDNL,5.52,1,2017/1/3 13:26,20170103CDLG000210052839
30008274,911010501,CDNL,27.22,1.279,2017/1/3 13:26,20170103CDLG000210052839
30020269,923000101,CDNL,7.6,0.865,2017/1/3 13:26,20170103CDLG000210052839
29989077,922000008,CDNL,11.61,0.292,2017/1/3 13:26,20170103CDLG000210052839
30020095,923000010,CDNL,7.6,0.689,2017/1/3 13:26,20170103CDLG000210052839
30164949,930020500,CDNL,20.52,1,2017/1/3 13:26,20170103CDLG000210052839
30188637,930020001,CDNL,13.52,2,2017/1/3 13:26,20170103CDLG000210052839
29989153,923000006,CDNL,7.6,0.714,2017/1/3 13:26,20170103CDLG000210052839
30012520,930020001,CDNL,14.52,1,2017/1/3 13:26,20170103CDLG000210052839
30031738,915030101,CDNL,4.92,2.943,2017/1/3 13:29,20170103CDLG000210052841
30031738,915030101,CDNL,4.92,2.321,2017/1/3 13:29,20170103CDLG000210052841
29989077,922000008,CDNL,11.6,0.192,2017/1/3 13:29,20170103CDLG000210052841
30037684,922000005,CDNL,11.59,0.401,2017/1/3 13:29,20170103CDLG000210052841
29989059,922000003,CDNL,3.98,0.98,2017/1/3 13:29,20170103CDLG000210052841
29989157,923000000,CDNL,5.6,2.341,2017/1/3 13:29,20170103CDLG000210052841
30006343,915030400,CDNL,3.98,0.963,2017/1/3 13:30,20170103CDLG000210052842
30214313,930020502,CDNL,8.52,1,2017/1/3 13:30,20170103CDLG000210052843
29998003,931020303,CDNL,6.92,1,2017/1/3 13:30,20170103CDLG000210052844
30100635,930010000,CDNL,22.52,1,2017/1/3 13:30,20170103CDLG000210052844
30121110,930020502,CDNL,20.52,1,2017/1/3 13:30,20170103CDLG000210052844
30143702,931060000,CDNL,9.52,1,2017/1/3 13:30,20170103CDLG000210052844
30162126,912060303,CDNL,51.24,0.585,2017/1/3 13:30,20170103CDLG000210052844
30138094,931060107,CDNL,11.52,1,2017/1/3 13:30,20170103CDLG000210052844
30150524,930020001,CDNL,20.52,1,2017/1/3 13:30,20170103CDLG000210052844
30208710,930000202,CDNL,11.52,1,2017/1/3 13:30,20170103CDLG000210052844
30004114,914000003,CDNL,11.62,1,2017/1/3 13:30,20170103CDLG000210052844
30102698,931080001,CDNL,18.12,1,2017/1/3 13:30,20170103CDLG000210052844
30166692,931070100,CDNL,5.52,1,2017/1/3 13:30,20170103CDLG000210052844
30031671,930040200,CDNL,29.52,1,2017/1/3 13:32,20170103CDLG000210052845
30200755,931020105,CDNL,9.52,1,2017/1/3 13:32,20170103CDLG000210052846
30200755,931020105,CDNL,9.52,1,2017/1/3 13:32,20170103CDLG000210052846
30200755,931020105,CDNL,9.52,1,2017/1/3 13:32,20170103CDLG000210052846
30020269,923000101,CDNL,7.6,0.952,2017/1/3 13:33,20170103CDLG000210052847
30202566,930020001,CDNL,9.52,1,2017/1/3 13:33,20170103CDLG000210052847
30214313,930020502,CDNL,8.52,1,2017/1/3 13:33,20170103CDLG000210052847
30214313,930020502,CDNL,8.52,1,2017/1/3 13:33,20170103CDLG000210052847
30023197,922000003,CDNL,6.8,0.738,2017/1/3 13:33,20170103CDLG000210052847
30113344,912060303,CDNL,13.42,1.703,2017/1/3 13:36,20170103CDLG000210052848
30090097,930010000,CDNL,19.52,1,2017/1/3 13:37,20170103CDLG000210052849
30119297,930000201,CDNL,6.52,1,2017/1/3 13:37,20170103CDLG000210052850
30214313,930020502,CDNL,8.52,1,2017/1/3 13:39,20170103CDLG000210052851
