用户ID,好坏客户,年龄,负债率,月收入,家属数量
75,1,49,0.182881653,10257,3
76,0,36,0.116614347,8600,3
77,0,29,0.694646949,4800,0
78,0,37,0.074155949,4975,0
79,0,69,0.270448637,15000,1
80,0,41,2.797698945,1042,2
81,0,52,0.111131623,10833,1
82,0,66,0.208842479,4500,0
83,0,53,2.604510673,12414,2
84,0,56,0.492021814,4950,0
85,0,31,0.395031809,3300,0
86,0,58,0.316144874,4886,1
87,0,58,3282,,0
88,0,64,0.004061231,3200,0
89,1,45,0.591477634,4716,2
90,0,60,0.487288997,4916,0
91,0,51,15466,0,0
92,0,83,0.123797734,10500,0
93,0,52,2662,,0
94,0,34,0.368403802,3050,1
95,0,44,0.51241535,3100,0
96,0,37,0.288417167,6500,0
97,0,48,10,,
98,0,57,0.280664917,5714,0
99,0,32,0.480523957,2900,0
100,0,75,0.006799093,7500,0
101,0,61,15,,0
102,0,34,0.32591852,4000,0
103,0,52,0.138238573,2690,0
104,0,44,0.299246282,4908,1
105,0,57,0.258939285,8333,0
106,0,46,0.026235802,6250,3
107,0,80,0.003478779,10060,0
108,0,32,0.519493502,3000,1
109,0,62,0.664221287,8314,0
110,0,61,4739,,
111,0,47,0.009748781,8000,2
112,0,58,1.382629108,3833,0
113,0,52,0.023993145,3500,0
114,0,68,0.108089191,10000,1
115,0,39,0.384441575,3097,3
116,0,74,7,,0
117,0,46,0.149103029,10200,0
118,0,44,1.243362832,4067,1
119,0,68,269,,0
120,0,68,0.12290366,8168,0
121,0,31,0.123752495,500,0
122,0,34,0.297933792,4500,0
123,0,67,0.239507959,4145,0
124,0,58,0.366545247,14000,4
125,0,39,4090,,0
126,0,58,0.63332301,3228,0
127,0,61,0.2226598,3300,0
128,0,59,0.218854341,19167,0
129,0,36,0.266394467,12000,0
130,0,59,0.351699622,4500,0
131,0,43,994,,0
132,0,77,0.001998002,1000,0
133,0,48,0.517468688,4550,0
134,0,81,0.086482558,2751,1
135,0,51,0.100920343,3150,0
136,0,53,0.199647533,7943,0
137,0,56,1.065901518,2700,2
138,0,63,1.129227053,4139,1
139,0,55,0.112051635,9450,0
140,0,54,0.315983758,5417,1
141,0,55,0.323088235,6799,0
142,0,72,3031,,0
143,0,53,0.534027778,8639,3
144,0,27,567,,0
145,0,31,0.343593791,3800,0
146,0,38,0.43369976,5821,4
147,0,40,0.452363811,12500,2
148,0,48,0.427882174,3937,0
149,0,50,0.748071979,3500,3
150,0,34,0.025911708,2083,0
151,0,48,0.370876375,3000,5
152,0,57,0.655812625,3500,1
153,0,30,0.315171207,4000,1
154,0,28,0.144616356,3166,0
155,0,36,0.563752087,9583,1
156,0,60,0.412979783,6825,0
157,0,58,0.342971419,12000,4
158,0,49,0.801999355,3100,0
159,0,40,0.034847816,6800,3
160,0,63,2,,
161,0,50,0.726566993,3477,1
162,0,38,2088,,0
163,1,47,1.104301274,5416,1
164,0,63,0.610841267,5146,2
165,0,42,0.593899089,6916,0
166,0,54,3.382196162,1875,0
167,0,63,1268,,0
168,0,29,639.5,1,2
169,0,36,0.138461538,7734,0
170,0,33,0.852429514,5000,0
171,0,72,0.089091313,4500,0
172,0,29,974,,0
173,0,53,0.543625949,7506,3
174,0,79,0.365151154,4200,0
175,0,58,0.342005076,9455,2
176,0,69,0.330733853,5000,1
177,0,69,0.005319149,2255,3
178,0,75,0.010927876,10065,0
179,0,41,0.907538526,2400,0
180,1,35,1593,,1
181,0,46,0.667835346,7700,1
182,0,65,2177,,1
183,0,55,0.436665827,3970,0
184,0,55,3144,,0
185,1,51,0.477503628,6200,0
186,1,25,0.152896812,2916,0
187,1,44,0.291709578,3883,1
188,0,86,13,,0
189,0,56,0.438912218,5000,0
190,0,55,0.47090194,15000,3
191,0,64,0.332016389,6833,0
192,0,53,0.536703799,3500,0
193,0,49,2932,,0
194,0,55,0.156259612,3250,4
195,0,80,0.016196761,5000,0
196,1,38,74.5,1,2
197,0,44,0.224465502,21000,3
198,0,40,0.119660709,3300,0
199,0,35,103,,0
200,0,69,0.308438695,3400,0
201,0,64,0.181311286,5200,0
202,0,61,0.269281443,9866,2
203,0,46,0.166215372,4800,4
204,0,49,0.429533892,7272,0
205,0,64,0.17386957,9000,0
206,0,40,0.443755624,10000,2
207,0,27,0.024340075,5833,0
208,0,60,1253,,1
209,0,92,0.034326669,2650,0
210,0,50,0.420180551,8750,0
211,0,64,2826,,0
212,0,66,0.358101135,1937,0
213,0,53,0.183464028,19000,2
214,0,62,0.04965839,6000,0
215,1,63,5223,,0
216,0,50,1208,,0
217,0,61,0.031349387,2200,0
218,0,42,800,1,2
219,0,63,0.332698534,5250,0
220,0,73,0.135589153,4166,0
221,0,72,0.04578345,7600,0
222,0,52,0.700153374,5215,0
223,0,45,0.376836435,8167,2
224,0,44,0.296854804,6962,0
225,0,63,0.701766078,6001,0
226,0,37,0.322446259,6000,0
227,1,38,0.153500141,3556,2
228,0,36,0.56071964,2000,1
229,0,41,0.436025621,6400,2
230,0,63,0.262773723,10000,0
231,0,76,0.002465931,7704,0
232,0,43,0.537485582,2600,0
233,0,64,0.588073078,2900,0
234,0,67,0.460246187,12916,0
235,0,52,0.353860086,4416,1
236,0,66,3730,,0
237,0,55,0.476704659,5000,0
238,0,42,0.578676723,5833,2
239,0,28,0,,
240,0,47,0.283765445,14000,1
241,1,61,0.209961825,5500,1
242,0,73,0.000285687,10500,0
243,0,58,2825,,0
244,0,68,0.040493251,6000,0
245,0,41,0.20364404,9000,0
246,0,44,0.14041952,9200,0
247,0,42,0.458551158,6694,4
248,0,40,0.359964004,10000,2
249,0,78,0.008886914,4500,0
250,0,81,0.165566887,3333,0
251,0,49,0.257017809,6625,0
252,1,58,0.151956584,3500,0
253,0,54,0.092913547,9750,2
254,0,33,0.058322869,7166,0
255,0,53,0.266909775,8500,5
256,0,23,0,1725,0
257,0,49,0.123125125,15000,1
258,0,44,0.278077082,4825,2
259,0,63,0.007988922,9387,0
260,0,42,86,,0
261,0,65,0.125189985,12500,1
262,0,54,1612,,0
263,0,28,0.037259615,4991,0
264,0,78,392,,
265,0,66,1.117952819,2500,0
266,0,32,0.264078812,6800,2
267,0,43,0.009691169,208333,1
268,0,59,0.637607437,5700,1
269,0,76,0.267149259,2900,0
270,0,68,0.094140517,3600,0
271,0,61,0.529548989,1285,0
272,0,68,0.175139978,4464,1
273,0,57,0.130453416,11666,1
274,0,68,0.445277361,4668,2
275,0,57,0.205927884,26484,3
276,1,46,0.637749121,1705,0
277,0,69,0.389895596,8332,0
278,0,44,0.326383681,6666,1
279,0,28,0.139429485,3750,0
280,0,53,0.595653913,7500,1
281,0,40,0.178184282,8855,0
282,0,36,0.554878049,5411,1
283,0,42,0.272721679,16250,1
284,0,64,0.307576329,2652,0
285,0,57,5439,,
286,0,62,0.262879153,16615,1
287,0,47,0.092163472,9493,0
288,0,62,0,5480,0
289,0,49,0.347930414,5000,3
290,0,66,0.28446242,8900,0
291,0,54,0.705627706,5081,2
292,0,56,942,,1
293,0,83,0.689589756,4216,0
294,0,45,0.339332853,8333,2
295,0,29,0.53628857,2300,3
296,0,67,0.083799311,13054,0
297,0,29,0.24651504,2725,0
298,0,46,0.282830201,15800,4
299,0,25,1005,0,0
300,0,68,0.787803049,4000,0
301,0,33,0.537441339,4900,1
302,0,55,0.03988553,5590,0
303,0,46,0.271186441,6666,3
304,0,66,0.046633911,11600,1
305,0,66,0.391427671,3172,0
306,0,48,0.075848303,500,0
307,0,52,0.408871921,11000,4
308,0,32,0.166766647,6667,0
309,0,51,0.066830086,7750,2
310,0,27,0.144948404,4166,0
311,0,32,0.463610776,7460,0
312,0,30,0.136575616,1500,0
313,0,37,0.329935275,6179,3
314,0,49,0.042836573,8333,1
315,0,37,0.184027338,7900,5
316,0,36,0.632794037,5500,0
317,0,62,0.406053995,3666,0
318,0,57,0.043744532,8000,1
319,0,59,0,4200,1
320,0,38,0.472542946,3550,4
321,0,92,10,,0
322,0,58,3976,,0
323,0,37,0.288477299,6100,0
324,0,63,0.750200803,1244,0
325,0,32,1.247340213,12500,0
326,0,52,0.483518065,6946,1
327,0,43,4211,0,2
328,0,29,0.168340507,2090,0
329,0,45,0.318890815,7500,2
330,0,38,0.712458746,2423,1
331,0,62,0.249471161,7090,0
332,0,29,0,,0
333,0,41,0.408706353,6500,2
334,0,29,0.193935355,3000,0
335,1,47,0.03975841,25000,3
336,0,55,0.388320836,4400,1
337,0,87,0.001534331,5213,0
338,0,41,0.199761673,9230,0
339,0,61,1.394967177,913,0
340,0,28,0.189702574,4000,1
341,0,43,0.572292191,1984,4
342,0,71,0.426412462,4300,1
343,0,46,0.072914726,16100,2
344,0,30,0.090341011,5600,0
345,1,43,0.461323764,7523,1
346,0,59,0.381254316,15928,1
347,0,47,773,,1
348,0,61,542,,0
349,0,72,0.356679286,3697,0
350,0,50,0.45722203,5773,1
351,1,68,0.218071277,25000,0
352,0,58,8380,,0
353,0,69,0.193935355,3000,0
354,0,71,151,,0
355,1,48,2073,,0
356,0,37,0.184625639,4500,1
357,0,50,2720,,2
358,0,38,0.563328034,1886,0
359,0,35,3388,,0
360,0,59,0.033982276,14330,0
361,0,67,0.119463561,5666,0
362,0,30,0.698120752,2500,2
363,0,56,0.170164956,19580,1
364,0,51,0.333583302,8000,2
365,0,40,3878,,0
366,0,28,0.467171717,1187,0
367,0,54,0.017655818,4700,2
368,0,46,4480,,0
369,0,57,6381,,0
370,0,35,0.314566116,3871,3
371,0,79,0.009596162,2500,0
372,0,46,0.267146571,5000,3
373,0,79,1063,,0
374,0,64,0.214426305,8636,1
375,0,74,0.164917541,2000,0
376,0,64,0.101514142,10500,0
377,0,63,0.387956894,9000,0
378,1,63,0.285156885,6150,1
379,0,54,0.655589124,3640,1
380,0,63,0.278226307,8050,3
381,0,45,0.290229092,14491,3
382,0,22,130,,
383,0,66,870,,
384,0,57,0.13080895,5228,0
385,0,43,0.10821382,2300,1
386,0,61,0.008549573,20000,0
387,0,54,2028,,1
388,0,90,876,,0
389,0,60,2.086478612,7550,0
390,0,34,0.007495315,3201,0
391,0,38,34,,0
392,0,60,0,4200,0
393,0,76,0.285452994,8200,0
394,0,76,0.070513488,9600,2
395,0,39,0.188281635,10154,2
396,0,83,0,,0
397,0,63,0.582162622,4697,1
398,0,52,0.414081023,9700,0
399,1,58,668,,0
400,0,42,0.113421853,6250,2
401,0,63,926.5,1,0
402,0,58,0.115826132,7752,2
403,0,62,0.073772011,5394,0
404,0,46,1.206516118,5800,2
405,0,27,0.000268637,7444,0
406,0,27,0.352214765,3724,1
407,0,35,0.092985318,3064,3
408,0,55,0.437996083,9700,0
409,0,73,0.043259135,16666,0
410,0,51,0.492529978,10173,0
411,0,36,0.344879921,11200,2
412,0,56,0.259102536,31666,1
413,0,59,2113,,
414,0,49,1599,,0
415,0,64,0.255290785,6000,1
416,0,56,0.131430952,4800,0
417,0,37,0.045366363,6700,0
418,0,48,1.299736021,4166,1
419,0,36,0.334245422,4750,0
420,0,70,724,,0
421,1,49,0.369223765,8785,2
422,0,57,2221.5,1,0
423,0,39,0.644706486,3900,1
424,1,61,1.2979007,3000,1
425,0,38,0.41627543,5750,2
426,0,24,0.035803497,1200,0
427,0,33,1786,,0
428,0,73,0.386728192,4550,0
429,0,79,0.130140954,5178,0
430,0,81,0.000822143,3648,1
431,0,55,0.725137431,2000,0
432,0,57,0.16069592,11667,2
433,0,58,0.518991188,3290,1
434,0,52,0.003278689,2439,0
435,0,51,0.446688128,10250,2
436,0,63,0.41905226,8208,0
437,0,97,3,,
438,0,56,13,,0
439,0,41,0.686736475,4583,0
440,0,43,0.603763294,3666,2
441,0,56,1348,,0
442,0,59,862,,0
443,0,40,0.207789429,9345,0
444,0,74,0.306409131,3416,0
445,0,49,0.358153388,9400,0
446,0,68,0.209965006,6000,0
447,0,57,0.785229953,6783,0
448,0,48,0.179979778,8900,6
449,0,40,0.19170579,3833,2
450,0,23,0,3500,1
451,0,52,0.013543599,5389,2
452,0,48,2045,,0
453,0,55,0.454057468,3166,0
454,0,61,0.671076012,5064,0
455,0,33,0.114004783,3762,0
456,0,69,0.065493451,10000,0
457,0,39,0.432010059,5566,0
458,0,84,0.00912845,4600,0
459,0,32,0.095584668,2060,0
460,0,78,726,,
461,0,61,0.229436075,7500,2
462,0,37,0.177007047,7236,3
463,0,33,0.257707218,5416,1
464,0,81,0.145685279,3939,0
465,0,60,0.566105156,3917,2
466,0,46,0.394460554,10000,3
467,0,57,0.053530226,6500,0
468,0,57,0.130309575,8333,0
469,1,32,0.006731051,3416,3
470,1,42,0.594224361,2700,0
471,0,38,0.384761524,10000,0
472,0,82,0.176964607,5000,0
473,0,33,0.216405216,5290,0
474,0,68,0.168767792,4917,0
475,0,52,0.280494456,5500,2
476,0,46,0.041583367,2500,1
477,0,66,90,,0
478,0,57,0.558762411,4330,0
479,0,50,0.399106478,9400,0
480,0,34,0.034395414,7500,0
481,0,53,0.52409692,11266,3
482,0,76,0.374304267,4311,0
483,0,64,0.186225718,6228,0
484,0,72,0.020763907,3900,0
485,0,48,0.478090767,7667,0
486,0,71,0.4925,6399,1
487,0,59,929,,2
488,0,53,1.114622389,5600,1
489,0,34,997,,
490,0,51,0.086269282,5250,0
491,0,55,0.412779302,2550,0
492,0,46,0.254661625,7668,3
493,0,27,0.229139073,2264,0
494,0,43,0.44723563,9115,0
495,0,75,0.205971968,1640,1
496,0,31,0.068227425,4484,1
497,0,43,0.384074741,11666,0
498,0,51,0.532754538,3800,0
499,0,28,0.057990335,6000,0
500,0,51,0.09963548,6583,0
501,0,55,0.467850417,7433,0
502,0,69,0.016683267,4015,0
503,0,42,0.533099636,7416,3
504,0,33,0.660528423,2497,0
505,0,60,0.023181455,1250,1
506,1,54,0.228402866,2372,0
507,0,48,0.262848568,7996,3
508,0,49,0.067629397,6993,1
509,0,73,8500,0,0
510,0,91,0,,
511,0,66,0.195074372,4100,0
512,0,49,0.568886223,5000,0
513,0,46,0.278025952,4700,1
514,1,37,1.620344914,4000,1
515,0,54,2126,,0
516,0,22,0.347066167,800,0
517,0,31,0.162635688,5250,0
518,0,39,0.450171821,3200,0
519,0,56,7,,0
520,0,44,0.4825614,8916,1
521,1,50,0.297139683,3600,1
522,0,55,0.001785714,5599,2
523,0,52,0.207274054,8220,3
524,0,58,0.287187752,6204,0
525,0,62,0.044762033,7416,0
526,0,42,0.230261579,8333,4
527,0,47,1215,,
528,0,42,0.790613718,3600,1
529,1,39,0.055984556,9841,2
530,0,45,0.724784402,8000,0
531,0,82,0,,0
532,0,64,3819,,
533,0,55,0.127071823,1266,0
534,0,58,0.498488489,12900,2
535,0,35,0.300839136,5600,1
536,0,62,7963,,3
537,1,52,0.524949909,10480,1
538,0,40,887,0,1
539,0,57,2301,,0
540,0,45,0.4842141,8836,1
541,0,27,0.881825173,3900,1
542,0,24,499,,
543,0,37,0.674399608,6120,0
544,0,36,0.437743191,3597,2
545,0,40,0.423251505,10794,2
546,0,86,2,,0
547,0,56,87,,0
548,0,59,0.53418212,3612,0
549,0,40,0.60616581,7200,0
550,0,49,0.030774358,9000,0
551,0,66,0.351891786,5100,0
552,0,63,0.200843235,5217,4
553,0,45,461,,0
554,0,30,0,4700,1
555,0,36,0.785404865,3000,1
556,0,39,677,,2
557,0,27,0,4500,0
558,0,44,0.747375437,6000,2
559,0,34,3,,0
560,0,59,0.388566694,3620,1
561,0,38,0.08951092,3250,3
562,0,38,0.024885359,70000,2
563,0,39,1314,,0
564,0,43,0.353883732,10234,0
565,0,57,3169,,3
566,0,75,0.527431421,801,0
567,0,29,0.338531127,8400,0
568,0,55,0.324741695,9000,0
569,0,60,0.293637575,6003,0
570,0,37,0.437717467,1436,1
571,0,69,0.064119265,6908,0
572,0,48,0.480393478,7420,0
573,1,89,0.549380248,2500,0
574,0,56,0.197624587,8166,0
575,0,75,0.0013269,8289,0
576,0,55,0.138721351,4144,0
577,0,63,1.308922769,4000,0
578,0,49,562,,
579,0,31,0.236980252,12000,1
580,0,61,0.368063194,10000,1
581,0,46,0.348057208,7900,2
582,0,40,0.185755935,2400,0
583,0,91,0.184123484,1813,0
584,0,46,2568,,0
585,0,56,0.336831584,2000,0
586,0,29,0.260170076,4350,1
587,0,45,0.373940678,3775,3
588,0,49,0.098937721,4800,4
589,0,64,556,,
590,0,51,0.238076192,10000,0
591,0,45,1021,,
592,0,78,0.024303074,5595,0
593,0,36,0.240143984,5833,1
594,0,54,0.3539428,6048,1
595,0,67,0.349026844,16800,0
596,0,63,0.102800764,6283,1
597,1,61,0.572590321,7500,0
598,0,86,0.010791367,2223,0
599,0,50,0.454103343,3289,1
600,1,51,0.350874186,5833,1
601,0,70,0.187762448,5000,0
602,0,44,0.607594937,1500,3
603,0,39,0.306101912,10930,1
604,0,49,0.201025979,33333,4
605,0,58,1.908629442,6500,0
606,0,39,723,0,2
607,0,33,0.158975542,4333,1
608,0,53,0.513602495,5770,1
609,0,36,0.175266904,2247,1
610,0,62,0.566894457,6584,0
611,0,62,0.002301937,5212,0
612,0,29,0.263516583,2200,0
613,0,44,0.2138395,2080,0
614,0,32,0.444956049,7166,0
615,0,52,0.444444444,3500,1
616,0,69,73,,
617,0,71,1468,,
618,0,63,0.506873282,4000,1
619,0,44,0.258576628,12912,0
620,0,54,1.383017398,3850,2
621,0,41,0.266876688,6665,1
622,0,32,0.191649336,6250,2
623,0,87,0.571428571,1700,0
624,0,43,0.157212981,7333,0
625,0,47,0.020146833,5856,3
626,0,75,0.145703611,16059,0
627,0,64,0.480082158,18500,1
628,0,41,1.432686655,1700,2
629,0,30,1581,,0
630,0,40,2866,0,0
631,0,56,0,6200,0
632,0,55,0.489714904,5541,0
633,0,36,0.297372704,4300,1
634,0,57,0.404799866,11916,0
635,0,56,0.238127698,4400,1
636,0,49,0.183736947,4500,2
637,0,53,79,0,0
638,0,51,0.295480067,7123,0
639,0,64,0.24496788,2334,0
640,0,28,0.179975176,2416,0
641,0,54,4659,,0
642,0,53,2719,,0
643,1,37,0.337622356,12667,3
644,0,70,4294,,0
645,0,48,5368,,0
646,0,52,0.258589038,3812,1
647,0,36,0.08037225,1181,0
648,0,51,0.23358954,11318,2
649,0,69,0.156614462,3000,0
650,0,52,10.80049875,400,2
651,0,67,84,,
652,0,36,0.370418677,7666,2
653,0,49,0.62273579,1600,1
654,1,51,0.160317928,16984,4
655,1,36,0.558320373,4500,0
656,0,33,0.238212526,2841,0
657,0,62,0.162891787,8741,0
658,0,69,0.162186181,4500,1
659,0,70,1514,,0
660,0,49,0.093522183,4800,2
661,0,46,1434,,0
662,0,65,0.416379181,6666,0
663,0,56,0.219974716,8700,1
664,0,51,2092,,2
665,0,57,0.360879707,3000,0
666,0,48,0.367553674,6613,1
667,0,47,0.645104381,3400,2
668,1,33,0.175120326,2700,0
669,0,75,8,,0
670,0,40,0.361421689,11000,2
671,0,40,0.517037339,4900,1
672,0,68,0.009831695,6000,0
673,0,35,0.305839582,4400,2
674,0,65,0.325335893,2083,0
675,0,81,0.017260735,7125,0
676,0,52,0.39095856,7166,0
677,0,69,0.009690817,6500,1
678,0,34,3300,,0
679,0,40,0.448326668,9501,1
680,0,35,0.662152897,5833,2
681,0,80,0.008908281,11000,0
682,0,68,48,,0
683,0,47,0.149077983,4500,0
684,0,64,0.028599606,6083,0
685,1,36,0.361340457,4117,1
686,0,49,0.166452387,11666,3
687,0,55,0.115171335,7032,0
688,0,35,0.335733141,8333,2
689,0,63,0.035418452,3500,0
690,0,64,0.513540291,9083,0
691,0,64,0.037871034,2930,2
692,0,26,0.017052375,820,0
693,0,77,0.457930642,7035,1
694,0,32,0.177955511,4000,0
695,0,54,3.874422899,1082,0
696,0,40,0.263151915,8800,4
697,0,53,2958,,2
698,1,58,0.27112148,6000,1
699,0,50,0.207518671,11916,0
700,0,56,0.00711943,12500,2
701,0,75,0.199949219,7876,0
702,0,36,0.232918082,2648,3
703,0,33,0.182363527,3333,0
704,0,52,0.442592901,6000,2
705,0,62,0.427674963,9401,0
706,0,60,1.012368584,3233,0
707,0,52,0.262440354,4400,0
708,0,36,0.441868921,11000,0
709,0,71,0.190062303,13000,0
710,0,83,0.00019996,5000,0
711,0,76,272,0,0
712,0,40,0.090355422,11000,3
713,0,46,0.585122242,6707,3
714,0,78,605,,0
715,0,36,631,,0
716,0,76,0.668266347,1666,0
717,0,41,0.408475574,1698,1
718,0,60,0.04587156,2833,0
719,0,63,0.361938937,16441,1
720,0,52,0.319174181,4213,0
721,0,58,0.601017347,7666,0
722,0,56,0.712194056,4575,0
723,0,33,0.312937413,5000,0
724,0,64,0.011195522,2500,0
725,0,33,0.043739065,4000,0
726,0,40,64,,0
727,0,56,0.461357487,8500,4
728,0,60,0.711075819,17000,0
729,0,27,0.260763359,3274,2
730,0,41,0.336295473,3600,0
731,0,48,0.376905611,3082,0
732,0,69,1653,,0
733,0,39,0.735131912,6708,2
734,0,36,0.23072116,8000,0
735,0,34,0.870354941,6000,0
736,0,50,3074,,0
737,0,79,0.812870978,3200,0
738,0,54,0.020708083,4490,0
739,0,36,0.650674663,2000,0
740,1,39,0.691279186,5010,2
741,0,35,0.453692681,21000,0
742,0,38,0.428628549,2500,0
743,0,52,1321,,2
744,0,24,0.010079194,4166,0
745,0,76,0.044093178,1201,0
746,0,41,1290,,2
747,0,74,0.080495356,1291,0
748,0,47,0.315173697,16666,3
749,0,57,0.335066493,10000,3
750,0,63,0.052672049,2600,1
751,0,62,17,,0
752,0,39,0.285324697,5866,1
753,0,51,0.34037277,12500,1
754,0,60,0.365787835,9633,1
755,0,68,2284,,0
756,0,63,0.254313231,19416,1
757,0,55,0.369192131,7166,1
758,0,58,0.228999349,9213,0
759,0,55,0.540702656,3500,2
760,0,33,0.128132981,23100,0
761,1,58,0.632371083,4052,0
762,0,55,0.215576215,5700,0
763,0,44,0.324267573,10000,0
764,0,57,0.89117395,3500,1
765,0,65,0,615,0
766,0,56,0.049700447,11850,2
767,0,25,0.001723544,2900,0
768,0,89,5,0,0
769,1,32,0.44187375,3500,2
770,0,48,0.399050079,12000,0
771,0,38,0.181233062,2951,0
772,0,58,526,,1
773,0,59,0.531464095,7881,0
774,0,32,0.132716821,4000,1
775,0,50,0.372513562,1105,0
776,0,26,0.067061144,1520,0
777,0,55,0.128716003,6323,1
778,0,82,13,,0
779,0,62,1203,,0
780,0,46,1189,,0
781,0,66,2410,,0
782,0,46,0.26775232,5280,2
783,0,59,0,2236,0
784,0,29,0.057388522,5000,0
785,0,39,0.342354782,10862,0
786,0,36,0.508163945,3000,0
787,0,71,0.170705631,5611,0
788,0,82,0.001287001,7769,0
789,0,26,0.121568627,1274,0
790,1,58,3265,,0
791,0,68,1591,,
792,0,42,2336,0,3
793,0,58,0.177274242,3000,0
794,1,26,0.129805014,1794,0
795,0,33,523,,0
796,0,51,0.053521541,6800,0
797,0,60,0.193786454,8400,0
798,0,29,0.515939338,3230,0
799,0,79,0.225861336,2350,0
800,0,27,0.274952015,4167,0
801,1,50,0.68127587,4106,0
802,0,31,0.356018715,2350,0
803,0,45,0.735816454,10416,1
804,0,26,0.166517857,4479,0
805,0,63,111,,0
806,0,40,11,,0
807,0,57,0.085321957,7500,0
808,0,54,0.720069983,4000,0
809,0,33,0.332280979,3800,2
810,0,54,0.528550512,3414,1
811,0,24,0,3833,0
812,0,41,0.38708711,13350,1
813,0,47,228,,0
814,0,76,736,,0
815,0,87,2,,
816,0,34,0.644091034,3646,0
817,0,46,0.107878122,3642,4
818,0,82,0.002606106,8057,0
819,0,48,0.165213329,6421,2
820,0,83,0.217065334,2800,0
821,0,86,68,,1
822,0,56,0.552930754,6772,1
823,0,90,0,,
824,0,73,415,,0
825,0,33,1.002499107,2800,0
826,0,85,13,,
827,0,45,0.475322703,3950,1
828,0,56,0.142385321,5449,0
829,0,31,0.432783608,2000,0
830,0,30,0.264841895,8000,1
831,0,32,969,,0
832,0,40,0.344679838,4200,0
833,0,79,0.01332778,2400,0
834,0,37,0.335036659,4500,1
835,0,63,779,,0
836,0,28,852,,
837,0,69,0,5455,0
838,0,47,0.216280839,9200,2
839,0,71,0.01283697,2336,1
840,0,56,1387,,0
841,0,40,0.121319069,9066,4
842,0,64,2231,0,0
843,0,59,0.264911696,3000,1
844,0,28,0.286158631,4500,0
845,0,45,11311,0,0
846,0,31,0.332527053,7854,0
847,0,58,0.963084409,9453,1
848,1,44,6046,,0
849,0,37,0.079193665,8333,0
850,0,68,0.090386385,4347,0
851,1,47,64,,0
852,0,57,0.447142596,5476,0
853,0,51,1874,,0
854,0,50,0.380976732,3910,3
855,0,74,4,,0
856,0,73,0.122830656,18553,1
857,1,81,0.53801306,4287,0
858,0,58,0.411084131,7000,1
859,0,87,19,,0
860,0,55,0.196142489,15916,0
861,0,50,0.103425118,13400,2
862,0,34,0.32224953,6916,0
863,0,67,3174,,0
864,0,63,4627,,0
865,0,62,0.121835693,19000,0
866,0,59,0.226433961,11000,0
867,0,32,4121,,0
868,0,64,0.427787663,6743,0
869,0,72,2367,,0
870,0,64,0.074734316,5833,1
871,0,30,0.589815683,3200,0
872,0,79,0.00829363,5666,1
873,0,81,0.207164676,3600,0
874,0,41,0.718171926,3675,2
875,0,58,0.373801016,10633,0
876,0,55,3063,,0
877,0,45,0.008456176,8750,3
878,0,44,0.430297475,12000,3
879,0,49,0.330947228,6006,1
